,Symbol,Datetime,Interval,Open,High,Low,Close,Volume,Exchange
143,ADANIPOWER,2025-03-03 13:06:00+05:30,1minute,485.1,485.35,484.25,484.6,8931,NSE_EQ
144,ADANIPOWER,2025-03-03 13:05:00+05:30,1minute,484.95,485.3,484.75,485.1,4904,NSE_EQ
145,ADANIPOWER,2025-03-03 13:04:00+05:30,1minute,484.5,485.0,484.1,484.8,2542,NSE_EQ
146,ADANIPOWER,2025-03-03 13:03:00+05:30,1minute,484.35,484.75,483.9,484.6,8200,NSE_EQ
147,ADANIPOWER,2025-03-03 13:02:00+05:30,1minute,484.9,485.2,484.05,484.1,7243,NSE_EQ
148,ADANIPOWER,2025-03-03 13:01:00+05:30,1minute,484.85,485.65,484.65,484.85,10695,NSE_EQ
149,ADANIPOWER,2025-03-03 13:00:00+05:30,1minute,484.5,485.35,484.5,485.0,20244,NSE_EQ
150,ADANIPOWER,2025-03-03 12:59:00+05:30,1minute,484.1,484.5,483.95,484.5,5416,NSE_EQ
151,ADANIPOWER,2025-03-03 12:58:00+05:30,1minute,484.05,484.5,483.75,484.25,10041,NSE_EQ
152,ADANIPOWER,2025-03-03 12:57:00+05:30,1minute,483.75,484.3,483.55,484.1,5263,NSE_EQ
153,ADANIPOWER,2025-03-03 12:56:00+05:30,1minute,484.0,484.0,483.5,483.55,9124,NSE_EQ
154,ADANIPOWER,2025-03-03 12:55:00+05:30,1minute,484.2,484.5,484.0,484.05,20168,NSE_EQ
155,ADANIPOWER,2025-03-03 12:54:00+05:30,1minute,484.2,484.5,483.8,484.0,8121,NSE_EQ
156,ADANIPOWER,2025-03-03 12:53:00+05:30,1minute,484.8,485.05,483.85,484.2,35164,NSE_EQ
157,ADANIPOWER,2025-03-03 12:52:00+05:30,1minute,486.35,486.75,484.5,484.75,17727,NSE_EQ
158,ADANIPOWER,2025-03-03 12:51:00+05:30,1minute,487.15,487.35,486.3,486.3,7405,NSE_EQ
159,ADANIPOWER,2025-03-03 12:50:00+05:30,1minute,486.85,487.4,486.8,487.0,10415,NSE_EQ
160,ADANIPOWER,2025-03-03 12:49:00+05:30,1minute,486.25,486.85,486.1,486.85,4684,NSE_EQ
161,ADANIPOWER,2025-03-03 12:48:00+05:30,1minute,486.9,487.1,485.85,486.2,24241,NSE_EQ
162,ADANIPOWER,2025-03-03 12:47:00+05:30,1minute,486.55,487.0,486.55,486.9,14800,NSE_EQ
163,ADANIPOWER,2025-03-03 12:46:00+05:30,1minute,486.6,487.4,486.35,486.8,33100,NSE_EQ
164,ADANIPOWER,2025-03-03 12:45:00+05:30,1minute,485.0,486.75,485.0,486.4,23189,NSE_EQ
165,ADANIPOWER,2025-03-03 12:44:00+05:30,1minute,484.7,485.15,484.65,484.85,7423,NSE_EQ
166,ADANIPOWER,2025-03-03 12:43:00+05:30,1minute,484.35,485.1,484.25,484.9,21667,NSE_EQ
